edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud,informal_2024
50,2500,6.0,70.0,4,7000000.0,6.0,0,1,1,0
56,3136,17.0,40.0,3,2900000.0,10.0,1,1,1,0
55,3025,6.0,40.0,2,800000.0,1.0,0,1,0,0
36,1296,17.0,30.0,4,1100000.0,7.0,0,1,1,0
34,1156,17.0,30.0,4,1100000.0,11.0,1,1,1,0
49,2401,15.0,25.0,1,600000.0,9.0,1,0,1,0
54,2916,12.0,40.0,1,750000.0,11.0,0,0,1,0
41,1681,14.0,50.0,3,450000.0,7.0,0,1,1,0
44,1936,14.0,50.0,3,1000000.0,2.0,1,1,1,0
44,1936,12.0,40.0,2,2000000.0,3.0,0,1,1,0
40,1600,17.0,40.0,2,860000.0,8.0,1,1,1,0
51,2601,17.0,45.0,2,700000.0,1.0,1,0,1,0
29,841,19.0,40.0,1,1500000.0,5.0,0,0,1,0
26,676,11.0,45.0,1,900000.0,12.0,1,0,1,0
26,676,12.0,40.0,3,1800000.0,1.0,0,0,1,0
32,1024,15.0,40.0,2,1800000.0,8.0,0,1,1,0
32,1024,19.0,40.0,2,2350000.0,9.0,1,1,1,0
47,2209,12.0,48.0,5,600000.0,1.0,0,1,0,0
40,1600,12.0,40.0,4,500000.0,6.0,1,1,0,0
42,1764,6.0,40.0,4,500000.0,6.0,0,1,0,1
29,841,15.0,20.0,4,950000.0,11.0,1,1,1,0
51,2601,12.0,36.0,2,1200000.0,11.0,0,1,1,0
52,2704,12.0,36.0,2,1500000.0,8.0,1,1,1,0
34,1156,8.0,69.0,3,500000.0,1.0,1,0,0,0
41,1681,12.0,40.0,3,1700000.0,6.0,0,1,1,0
41,1681,14.0,40.0,4,880000.0,3.0,1,1,1,0
38,1444,12.0,40.0,4,900000.0,1.0,0,1,0,0
38,1444,15.0,20.0,6,1500000.0,7.0,1,1,1,0
53,2809,8.0,48.0,1,800000.0,1.0,0,0,1,0
31,961,12.0,35.0,4,2000000.0,8.0,0,1,1,0
37,1369,17.0,40.0,4,1500000.0,9.0,1,1,1,0
49,2401,6.0,48.0,1,480000.0,1.0,0,0,0,0
33,1089,17.0,20.0,3,1200000.0,8.0,0,0,1,0
55,3025,6.0,40.0,1,680000.0,1.0,0,0,1,0
44,1936,15.0,40.0,3,1000000.0,10.0,1,0,1,0
34,1156,9.0,40.0,4,600000.0,1.0,0,1,0,0
64,4096,12.0,30.0,1,1700000.0,11.0,0,0,1,0
62,3844,12.0,40.0,5,1700000.0,4.0,0,0,1,0
36,1296,16.0,40.0,4,5000000.0,1.0,0,1,1,1
50,2500,12.0,32.0,2,560000.0,2.0,1,0,0,0
36,1296,15.0,40.0,5,1600000.0,7.0,0,1,1,0
42,1764,17.0,40.0,4,2100000.0,11.0,0,0,1,0
51,2601,12.0,40.0,1,1200000.0,1.0,0,0,1,0
58,3364,12.0,46.0,2,150000.0,6.0,1,1,1,0
63,3969,6.0,56.0,2,1500000.0,11.0,0,1,1,0
39,1521,14.0,28.0,2,1000000.0,10.0,0,0,1,0
62,3844,15.0,0.0,2,200000.0,2.0,1,0,1,0
36,1296,17.0,36.0,1,1900000.0,12.0,0,0,1,0
45,2025,17.0,40.0,2,1900000.0,10.0,0,1,1,0
33,1089,17.0,40.0,2,600000.0,1.0,1,1,1,0
49,2401,9.0,48.0,4,1600000.0,6.0,0,0,1,0
34,1156,15.0,20.0,3,1100000.0,11.0,0,1,1,0
41,1681,12.0,40.0,3,1800000.0,8.0,1,0,1,0
35,1225,16.0,30.0,1,1200000.0,6.0,1,0,1,0
52,2704,15.0,30.0,1,2800000.0,7.0,1,0,1,0
55,3025,12.0,40.0,2,1800000.0,10.0,0,1,1,0
47,2209,16.0,30.0,3,815000.0,6.0,1,0,1,1
63,3969,17.0,48.0,2,6000000.0,9.0,0,0,1,0
75,5625,17.0,12.0,1,2200000.0,1.0,0,0,1,0
73,5329,17.0,40.0,3,3500000.0,1.0,0,1,1,0
73,5329,17.0,40.0,3,3000000.0,12.0,1,1,1,0
36,1296,17.0,40.0,3,1800000.0,1.0,0,0,1,0
33,1089,17.0,40.0,3,1500000.0,1.0,0,1,1,0
65,4225,12.0,30.0,1,400000.0,3.0,1,0,1,0
41,1681,19.0,20.0,1,1500000.0,9.0,1,0,1,0
74,5476,17.0,48.0,2,1500000.0,1.0,0,1,1,0
37,1369,17.0,40.0,5,2350000.0,12.0,1,1,1,0
36,1296,14.0,40.0,5,1300000.0,3.0,0,1,1,0
46,2116,17.0,30.0,4,1500000.0,10.0,1,0,1,0
49,2401,12.0,30.0,2,630000.0,9.0,1,1,1,0
57,3249,15.0,40.0,4,1400000.0,7.0,1,1,1,0
27,729,15.0,40.0,4,2000000.0,9.0,0,1,1,0
35,1225,17.0,34.0,1,1000000.0,9.0,0,0,1,0
45,2025,17.0,35.0,3,1400000.0,12.0,1,0,1,0
56,3136,15.0,30.0,2,850000.0,6.0,1,0,1,0
34,1156,17.0,84.0,1,1300000.0,7.0,0,0,1,0
33,1089,17.0,32.0,1,1400000.0,9.0,0,0,1,0
62,3844,19.0,40.0,2,1800000.0,7.0,1,1,1,0
56,3136,19.0,40.0,2,2200000.0,7.0,0,1,1,0
67,4489,19.0,50.0,2,1050000.0,9.0,1,1,1,0
57,3249,17.0,40.0,3,1800000.0,12.0,1,1,1,0
58,3364,9.0,32.0,3,1200000.0,9.0,1,1,1,0
48,2304,14.0,28.0,2,850000.0,12.0,1,0,1,0
30,900,6.0,48.0,4,300000.0,2.0,0,1,1,0
36,1296,17.0,45.0,5,2000000.0,10.0,0,1,1,0
56,3136,6.0,40.0,3,900000.0,8.0,0,1,1,0
