edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud
45,2025,15.0,40.0,1,1446500.0,4.0,0,0,1
26,676,13.0,40.0,1,1972500.0,10.0,0,0,1
26,676,12.0,84.0,1,1972500.0,6.0,0,0,1
31,961,11.0,40.0,4,0.0,10.0,1,0,1
18,324,11.0,2.0,5,473400.0,2.0,0,1,0
35,1225,9.0,72.0,4,2630000.0,12.0,0,1,1
37,1369,11.0,72.0,4,210400.0,1.0,1,1,1
50,2500,12.0,55.0,3,1315000.0,12.0,0,1,1
54,2916,12.0,55.0,3,624625.0,8.0,1,1,1
39,1521,12.0,18.0,2,263000.0,1.0,0,0,0
52,2704,17.0,40.0,3,1972500.0,10.0,1,0,1
36,1296,15.0,19.0,3,197250.0,1.0,1,1,0
47,2209,6.0,35.0,6,946800.0,6.0,0,1,0
33,1089,10.0,60.0,1,591750.0,7.0,0,0,1
28,784,12.0,48.0,4,920500.0,9.0,0,0,1
22,484,12.0,48.0,4,657500.0,12.0,1,0,0
16,256,10.0,105.0,5,657500.0,3.0,1,0,0
31,961,9.0,40.0,1,920500.0,2.0,0,0,0
52,2704,15.0,30.0,1,604900.0,9.0,0,0,1
43,1849,12.0,48.0,3,723250.0,10.0,0,1,1
30,900,6.0,48.0,3,263000.0,1.0,1,1,0
20,400,10.0,50.0,5,420800.0,3.0,1,1,1
23,529,6.0,50.0,5,420800.0,3.0,1,0,0
22,484,12.0,50.0,5,1709500.0,10.0,0,1,1
47,2209,15.0,55.0,1,1025700.0,3.0,0,0,1
40,1600,14.0,8.0,4,460250.0,3.0,0,1,1
30,900,17.0,45.0,1,1052000.0,6.0,1,0,1
61,3721,15.0,40.0,1,1446500.0,2.0,1,0,1
35,1225,17.0,40.0,3,394500.0,12.0,1,1,1
31,961,15.0,40.0,3,394500.0,12.0,0,1,1
25,625,17.0,40.0,1,2104000.0,10.0,0,0,1
53,2809,15.0,42.0,3,920500.0,8.0,0,1,1
47,2209,12.0,42.0,3,197250.0,1.0,1,1,1
18,324,13.0,42.0,3,315600.0,2.0,0,0,1
18,324,12.0,72.0,2,118350.0,4.0,1,0,0
51,2601,8.0,36.0,6,328750.0,1.0,0,1,1
60,3600,12.0,30.0,4,526000.0,9.0,1,1,1
28,784,12.0,30.0,4,657500.0,9.0,1,0,1
60,3600,6.0,40.0,5,1222950.0,2.0,0,1,1
24,576,17.0,58.0,2,1117750.0,11.0,0,1,1
54,2916,6.0,40.0,2,920500.0,7.0,1,0,1
24,576,13.0,40.0,2,19725.0,2.0,1,0,1
44,1936,12.0,42.0,4,1183500.0,4.0,0,1,1
42,1764,12.0,42.0,4,920500.0,1.0,1,1,1
24,576,12.0,42.0,4,920500.0,4.0,0,0,1
25,625,13.0,40.0,1,2104000.0,2.0,0,0,1
36,1296,15.0,40.0,3,1183500.0,9.0,0,1,1
26,676,12.0,58.0,2,1315000.0,11.0,1,1,1
26,676,15.0,58.0,2,1052000.0,11.0,0,1,1
34,1156,15.0,70.0,3,920500.0,1.0,1,1,1
36,1296,12.0,70.0,3,1709500.0,8.0,0,1,1
41,1681,13.0,54.0,1,2498500.0,9.0,0,0,1
70,4900,6.0,40.0,1,197250.0,1.0,0,0,1
43,1849,0.0,35.0,8,394500.0,2.0,0,1,0
25,625,15.0,36.0,2,1236100.0,8.0,0,1,1
26,676,17.0,36.0,2,1341300.0,6.0,1,1,1
27,729,11.0,46.0,1,319545.0,9.0,1,0,0
23,529,13.0,40.0,3,263000.0,5.0,0,0,1
73,5329,8.0,8.0,2,236700.0,1.0,0,1,1
69,4761,8.0,118.0,1,723250.0,1.0,0,0,1
47,2209,6.0,48.0,1,197250.0,1.0,0,0,0
37,1369,15.0,30.0,1,1315000.0,9.0,1,0,1
39,1521,6.0,59.0,2,933650.0,1.0,0,1,1
20,400,12.0,40.0,2,407650.0,9.0,0,0,1
40,1600,15.0,40.0,3,986250.0,7.0,1,0,1
30,900,10.0,40.0,6,460250.0,8.0,0,1,0
56,3136,17.0,30.0,5,1183500.0,7.0,1,1,1
46,2116,8.0,13.0,5,131500.0,2.0,0,1,0
46,2116,12.0,13.0,5,223550.0,3.0,1,1,0
25,625,17.0,13.0,5,0.0,3.0,1,0,1
20,400,12.0,13.0,5,210400.0,3.0,0,0,0
60,3600,6.0,30.0,5,789000.0,1.0,0,1,1
41,1681,12.0,72.0,5,526000.0,2.0,1,0,0
59,3481,17.0,16.0,1,157800.0,8.0,1,0,1
46,2116,12.0,24.0,1,526000.0,8.0,0,0,0
26,676,12.0,3.0,5,263000.0,2.0,0,1,0
44,1936,16.0,16.0,3,65750.0,1.0,1,0,0
71,5041,4.0,44.0,2,381350.0,6.0,0,1,1
71,5041,3.0,44.0,2,394500.0,6.0,1,1,1
25,625,12.0,45.0,2,1183500.0,9.0,0,1,1
19,361,12.0,24.0,4,1117750.0,7.0,0,0,1
20,400,13.0,40.0,4,789000.0,2.0,1,0,1
55,3025,10.0,40.0,4,2630000.0,12.0,0,1,1
28,784,15.0,40.0,4,1578000.0,5.0,0,0,1
39,1521,12.0,40.0,5,1183500.0,8.0,0,1,1
29,841,15.0,36.0,2,1578000.0,7.0,1,1,1
62,3844,9.0,30.0,4,394500.0,3.0,0,1,1
24,576,12.0,30.0,1,986250.0,9.0,1,0,1
49,2401,6.0,45.0,4,986250.0,8.0,0,0,1
24,576,10.0,45.0,4,657500.0,2.0,0,1,0
27,729,12.0,60.0,4,526000.0,2.0,0,1,1
25,625,13.0,60.0,4,470770.0,12.0,1,1,1
38,1444,17.0,37.0,1,1972500.0,12.0,1,0,1
44,1936,7.0,60.0,4,2498500.0,11.0,0,1,1
62,3844,16.0,76.0,2,894200.0,2.0,0,1,1
48,2304,12.0,76.0,2,394500.0,2.0,1,1,1
55,3025,12.0,44.0,1,1125640.0,3.0,0,0,1
53,2809,12.0,40.0,2,394500.0,7.0,1,1,0
59,3481,17.0,40.0,3,1972500.0,12.0,0,1,1
52,2704,15.0,40.0,3,394500.0,7.0,1,1,1
53,2809,15.0,40.0,2,854750.0,5.0,1,1,1
51,2601,9.0,40.0,2,920500.0,7.0,0,1,1
35,1225,11.0,45.0,4,657500.0,5.0,0,1,1
48,2304,10.0,48.0,5,263000.0,1.0,0,1,0
48,2304,12.0,48.0,5,102570.0,6.0,1,1,1
21,441,12.0,48.0,5,263000.0,2.0,1,0,0
36,1296,9.0,48.0,6,1052000.0,1.0,0,1,1
49,2401,15.0,37.0,4,920500.0,9.0,1,1,1
21,441,13.0,37.0,4,328750.0,10.0,1,0,1
23,529,12.0,37.0,4,789000.0,10.0,0,0,1
49,2401,14.0,48.0,4,1315000.0,1.0,0,1,0
51,2601,12.0,37.0,4,3945000.0,12.0,0,1,1
41,1681,12.0,30.0,4,102570.0,9.0,1,0,0
55,3025,6.0,56.0,3,657500.0,8.0,0,1,1
46,2116,6.0,40.0,2,263000.0,1.0,0,0,0
20,400,12.0,40.0,2,460250.0,1.0,1,0,1
24,576,12.0,48.0,4,591750.0,9.0,1,0,1
43,1849,17.0,45.0,4,1841000.0,6.0,0,1,1
34,1156,12.0,45.0,2,3945000.0,12.0,1,1,1
42,1764,8.0,50.0,2,1052000.0,9.0,0,1,1
49,2401,12.0,60.0,2,394500.0,1.0,1,0,0
60,3600,12.0,30.0,2,789000.0,1.0,0,1,0
38,1444,9.0,30.0,3,78900.0,1.0,1,0,0
49,2401,6.0,20.0,2,1052000.0,7.0,0,1,1
34,1156,12.0,40.0,4,1972500.0,9.0,0,1,1
27,729,13.0,40.0,4,1052000.0,3.0,1,1,1
35,1225,12.0,40.0,4,959950.0,9.0,1,1,1
21,441,12.0,30.0,2,394500.0,7.0,1,0,0
26,676,6.0,40.0,3,526000.0,2.0,0,1,0
47,2209,12.0,60.0,3,657500.0,2.0,1,1,1
45,2025,9.0,60.0,3,394500.0,1.0,0,1,1
38,1444,12.0,27.0,6,591750.0,2.0,0,1,1
52,2704,17.0,39.0,3,854750.0,10.0,1,1,1
52,2704,12.0,39.0,3,657500.0,7.0,0,1,1
65,4225,15.0,12.0,2,526000.0,7.0,1,0,1
43,1849,12.0,30.0,4,657500.0,10.0,1,1,1
57,3249,1.0,48.0,6,315600.0,3.0,0,0,0
31,961,9.0,48.0,6,378720.0,5.0,0,0,0
25,625,9.0,48.0,6,0.0,6.0,1,0,0
51,2601,17.0,35.0,2,1052000.0,12.0,1,0,1
55,3025,14.0,32.0,1,767960.0,7.0,1,0,1
25,625,12.0,32.0,4,1578000.0,9.0,0,1,1
35,1225,17.0,45.0,3,526000.0,1.0,1,1,1
37,1369,16.0,45.0,3,1578000.0,6.0,0,1,1
46,2116,8.0,42.0,2,460250.0,1.0,0,0,0
41,1681,6.0,40.0,7,0.0,5.0,0,1,0
38,1444,6.0,40.0,7,420800.0,3.0,1,1,0
19,361,9.0,40.0,7,168320.0,4.0,0,1,0
40,1600,15.0,45.0,3,789000.0,9.0,1,0,1
